Language	Code
Acehnese (Arabic script)	ace
Acehnese (Latin script)	ace
Mesopotamian Arabic	acm
Ta’izzi-Adeni Arabic	acq
Tunisian Arabic	aeb
Afrikaans	afr
South Levantine Arabic	ajp
Akan	aka
Amharic	amh
North Levantine Arabic	apc
Modern Standard Arabic	arb
Modern Standard Arabic (Romanized)	arb
Najdi Arabic	ars
Moroccan Arabic	ary
Egyptian Arabic	arz
Assamese	asm
Asturian	ast
Awadhi	awa
Central Aymara	ayr
South Azerbaijani	azb
North Azerbaijani	azj
Bashkir	bak
Bambara	bam
Balinese	ban
Belarusian	bel
Bemba	bem
Bengali	ben
Bhojpuri	bho
Banjar (Arabic script)	bjn
Banjar (Latin script)	bjn
Standard Tibetan	bod
Bosnian	bos
Buginese	bug
Bulgarian	bul
Catalan	cat
Cebuano	ceb
Czech	ces
Chokwe	cjk
Central Kurdish	ckb
Crimean Tatar	crh
Welsh	cym
Danish	dan
German	deu
Southwestern Dinka	dik
Dyula	dyu
Dzongkha	dzo
Greek	ell
English	eng
Esperanto	epo
Estonian	est
Basque	eus
Ewe	ewe
Faroese	fao
Fijian	fij
Finnish	fin
Fon	fon
French	fra
Friulian	fur
Nigerian Fulfulde	fuv
Scottish Gaelic	gla
Irish	gle
Galician	glg
Guarani	grn
Gujarati	guj
Haitian Creole	hat
Hausa	hau
Hebrew	heb
Hindi	hin
Chhattisgarhi	hne
Croatian	hrv
Hungarian	hun
Armenian	hye
Igbo	ibo
Ilocano	ilo
Indonesian	ind
Icelandic	isl
Italian	ita
Javanese	jav
Japanese	jpn
Kabyle	kab
Jingpho	kac
Kamba	kam
Kannada	kan
Kashmiri (Arabic script)	kas
Kashmiri (Devanagari script)	kas
Georgian	kat
Central Kanuri (Arabic script)	knc
Central Kanuri (Latin script)	knc
Kazakh	kaz
Kabiyè	kbp
Kabuverdianu	kea
Khmer	khm
Kikuyu	kik
Kinyarwanda	kin
Kyrgyz	kir
Kimbundu	kmb
Northern Kurdish	kmr
Kikongo	kon
Korean	kor
Lao	lao
Ligurian	lij
Limburgish	lim
Lingala	lin
Lithuanian	lit
Lombard	lmo
Latgalian	ltg
Luxembourgish	ltz
Luba-Kasai	lua
Ganda	lug
Luo	luo
Mizo	lus
Standard Latvian	lvs
Magahi	mag
Maithili	mai
Malayalam	mal
Marathi	mar
Minangkabau (Arabic script)	min
Minangkabau (Latin script)	min
Macedonian	mkd
Plateau Malagasy	plt
Maltese	mlt
Meitei (Bengali script)	mni
Halh Mongolian	khk
Mossi	mos
Maori	mri
Burmese	mya
Dutch	nld
Norwegian Nynorsk	nno
Norwegian Bokmål	nob
Nepali	npi
Northern Sotho	nso
Nuer	nus
Nyanja	nya
Occitan	oci
West Central Oromo	gaz
Odia	ory
Pangasinan	pag
Eastern Panjabi	pan
Papiamento	pap
Western Persian	pes
Polish	pol
Portuguese	por
Dari	prs
Southern Pashto	pbt
Ayacucho Quechua	quy
Romanian	ron
Rundi	run
Russian	rus
Sango	sag
Sanskrit	san
Santali	sat
Sicilian	scn
Shan	shn
Sinhala	sin
Slovak	slk
Slovenian	slv
Samoan	smo
Shona	sna
Sindhi	snd
Somali	som
Southern Sotho	sot
Spanish	spa
Tosk Albanian	als
Sardinian	srd
Serbian	srp
Swati	ssw
Sundanese	sun
Swedish	swe
Swahili	swh
Silesian	szl
Tamil	tam
Tatar	tat
Telugu	tel
Tajik	tgk
Tagalog	tgl
Thai	tha
Tigrinya	tir
Tamasheq (Latin script)	taq
Tamasheq (Tifinagh script)	taq
Tok Pisin	tpi
Tswana	tsn
Tsonga	tso
Turkmen	tuk
Tumbuka	tum
Turkish	tur
Twi	twi
Central Atlas Tamazight	tzm
Uyghur	uig
Ukrainian	ukr
Umbundu	umb
Urdu	urd
Northern Uzbek	uzn
Venetian	vec
Vietnamese	vie
Waray	war
Wolof	wol
Xhosa	xho
Eastern Yiddish	ydd
Yoruba	yor
Yue Chinese	yue
Chinese (Simplified)	zho
Chinese (Traditional)	zho
Standard Malay	zsm
Zulu	zul
