Country,LanguageName,Population Group,Language Vitality,Scripture,Year Scripture Published,Active Translation
Iraq,"Arabic, Mesopotamian [acm]",10M+,Institutional,,,Not Shown
Yemen,"Arabic, Ta'izzi-Adeni [acq]",10M+,Institutional,Stories,2011.0,Not Shown
Tunisia,"Arabic, Tunisian [aeb]",10M+,Institutional,New Testament,2011.0,Not Shown
South Africa,Afrikaans [afr],500K - 9.99M,Institutional,,,Not Shown
Syria,"Arabic, Levantine [apc]",10M+,Institutional,Selections,1981.0,Not Shown
Saudi Arabia,"Arabic, Najdi [ars]",10M+,Institutional,Selections,2013.0,Not Shown
Morocco,"Arabic, Moroccan [ary]",10M+,Institutional,New Testament,2012.0,Not Shown
Egypt,"Arabic, Egyptian [arz]",10M+,Institutional,,,Not Shown
India,Assamese [asm],10M+,Institutional,,,Not Shown
Spain,Asturian [ast],100K - 499K,In_Trouble,New Testament,1997.0,Not Shown
Iran,"Azerbaijani, South [azb]",10M+,Institutional,,,Not Shown
Russian Federation,Bashkort [bak],500K - 9.99M,Institutional,New Testament,2015.0,Yes
Bangladesh,Bengali [ben],10M+,Institutional,,,Not Shown
India,Bhojpuri [bho],10M+,Institutional,New Testament,2007.0,Not Shown
Indonesia,Banjar [bjn],500K - 9.99M,Institutional,Selections,2019.0,Not Shown
Indonesia,Banjar [bjn],500K - 9.99M,Institutional,Selections,2019.0,Not Shown
China,"Tibetan, Central [bod]",500K - 9.99M,Institutional,,,Not Shown
Indonesia,Bugis [bug],500K - 9.99M,Institutional,,,Not Shown
Iraq,"Kurdish, Central [ckb]",500K - 9.99M,Institutional,,,Not Shown
South Sudan,"Dinka, Southwestern [dik]",500K - 9.99M,Developing,New Testament,2011.0,Yes
Bhutan,Dzongkha [dzo],100K - 499K,Institutional,,,Not Shown
Italy,Friulian [fur],500K - 9.99M,In_Trouble,New Testament,1972.0,Not Shown
Nigeria,"Fulfulde, Nigerian [fuv]",10M+,Institutional,New Testament,2013.0,Not Shown
India,Gujarati [guj],10M+,Institutional,,,Not Shown
Israel,Hebrew [heb],500K - 9.99M,Institutional,New Testament,2010.0,Yes
India,Hindi [hin],10M+,Institutional,,,Not Shown
India,Chhattisgarhi [hne],10M+,Developing,New Testament,2014.0,Not Shown
India,Kannada [kan],10M+,Institutional,,,Not Shown
Georgia,Georgian [kat],500K - 9.99M,Institutional,,,Not Shown
Nigeria,"Kanuri, Yerwa [knc]",500K - 9.99M,Institutional,New Testament,1998.0,Not Shown
Nigeria,"Kanuri, Yerwa [knc]",500K - 9.99M,Institutional,New Testament,1998.0,Not Shown
Cape Verde Islands,Kabuverdianu [kea],500K - 9.99M,Institutional,Selections,2013.0,Not Shown
Italy,Ligurian [lij],100K - 499K,Institutional,Selections,1860.0,Not Shown
Netherlands,Limburgish [lim],500K - 9.99M,Developing,Selections,2001.0,Not Shown
Italy,Lombard [lmo],500K - 9.99M,Vigorous,Selections,1995.0,Not Shown
Latvia,Latgalian [ltg],100K - 499K,Developing,New Testament,1937.0,Not Shown
Luxembourg,Luxembourgish [ltz],100K - 499K,Institutional,New Testament,2017.0,Yes
India,Magahi [mag],10M+,Vigorous,New Testament,2016.0,Not Shown
India,Maithili [mai],10M+,Institutional,New Testament,2010.0,Not Shown
India,Malayalam [mal],10M+,Institutional,,,Not Shown
India,Marathi [mar],10M+,Institutional,,,Not Shown
Indonesia,Minangkabau [min],500K - 9.99M,Developing,New Testament,2010.0,Not Shown
Indonesia,Minangkabau [min],500K - 9.99M,Developing,New Testament,2010.0,Not Shown
India,"Punjabi, Eastern [pan]",10M+,Institutional,,,Not Shown
Iran,"Persian, Iranian [pes]",10M+,Institutional,,,Not Shown
Afghanistan,Dari [prs],10M+,Institutional,,,Not Shown
Afghanistan,"Pashto, Southern [pbt]",10M+,Institutional,,,Not Shown
Russian Federation,Russian [rus],10M+,Institutional,,,Not Shown
Italy,Sicilian [scn],500K - 9.99M,Developing,Selections,1861.0,Not Shown
Pakistan,Sindhi [snd],10M+,Institutional,,,Not Shown
Poland,Silesian [szl],500K - 9.99M,Vigorous,New Testament,2017.0,Not Shown
India,Tamil [tam],10M+,Institutional,,,Not Shown
India,Telugu [tel],10M+,Institutional,,,Not Shown
Mali,Tamasheq [taq],500K - 9.99M,Developing,New Testament,2006.0,Not Shown
Mali,Tamasheq [taq],500K - 9.99M,Developing,New Testament,2006.0,Not Shown
Morocco,"Tamazight, Central Atlas [tzm]",500K - 9.99M,In_Trouble,Selections,2020.0,Not Shown
China,Uyghur [uig],10M+,Institutional,,,Not Shown
Pakistan,Urdu [urd],10M+,Institutional,,,Not Shown
Italy,Venetian [vec],500K - 9.99M,Developing,Selections,1859.0,Not Shown
Senegal,Wolof [wol],500K - 9.99M,Institutional,New Testament,2010.0,Not Shown
China,"Chinese, Yue [yue]",10M+,Institutional,,,Not Shown
